neck_angle,torso_angle,shoulders_offset,relative_neck_angle,good_posture
5,-1,49.36598018878993,6,True
3,-1,58.215118311311535,4,True
3,-1,55.326304774492215,4,True
0,-2,57.21887800367987,2,True
-1,-2,57.21887800367987,1,True
-1,-2,55.326304774492215,1,True
3,-3,43.73785545725808,6,True
3,-3,48.662100242385755,6,True
2,-3,45.39823785126467,5,True
3,-4,40.607881008493905,7,True
2,-4,40.792156108742276,6,True
2,-4,40.607881008493905,6,True
1,-4,41.593268686170845,5,True
2,-3,42.7551166528639,5,True
2,-3,42.7551166528639,5,True
13,-3,38.2099463490856,16,True
14,-3,38.01315561749642,17,True
12,-2,41.012193308819754,14,True
-7,3,107.00467279516349,10,True
2,3,86.00581375697809,1,True
12,2,76.32168761236873,10,True
33,2,60.530983801686226,31,False
34,3,57.0701322935211,31,False
35,5,58.249463516842795,30,False
16,2,47.43416490252569,14,True
13,1,44.9221548904324,12,True
15,0,40.024992192379,15,True
16,0,44.384682042344295,16,True
16,-1,46.57252408878007,17,True
16,1,44.91102314577124,15,True
14,0,40.607881008493905,14,True
11,0,41.773197148410844,11,True
11,-1,36.87817782917155,12,True
9,0,49.36598018878993,9,True
10,0,46.69047011971501,10,True
12,0,39.319206502675,12,True
12,0,40.44749683231337,12,True
13,0,39.6232255123179,13,True
12,0,40.26164427839479,12,True
12,-1,38.3275357934736,13,True
15,0,31.575306807693888,15,True
14,0,31.400636936215164,14,True
17,1,41.10960958218893,16,True
17,0,44.40720662234904,17,True
18,-1,43.289721643826724,19,True
14,-2,45.12205669071391,16,True
13,-3,46.32493928760188,16,True
12,-2,44.91102314577124,14,True
10,-3,46.32493928760188,13,True
9,-4,45.89117562233506,13,True
10,-3,43.41658669218482,13,True
22,-3,31.953090617340916,25,False
24,-1,32.57299494980466,25,False
23,-2,38.48376280978771,25,False
15,0,44.91102314577124,15,True
8,-2,56.515484603779164,10,True
4,-1,65.92419889539804,5,True
-2,-1,80.15609770940699,1,True
-4,-2,82.29823813423954,2,True
-2,-3,74.24284477308234,1,True
4,-2,72.44308110509934,6,True
6,-1,67.26812023536856,7,True
5,-1,69.2314957226839,6,True
5,-1,68.73136110975832,6,True
5,-2,64.4980619863884,7,True
4,-1,64.6297145282261,5,True
11,-2,35.17101079013795,13,True
14,-7,22.847319317591726,21,False
14,-7,23.769728648009426,21,False
14,-6,26.570660511172846,20,True
14,-5,28.792360097775937,19,True
14,-5,30.675723300355934,19,True
15,-6,25.632011235952593,21,False
12,-4,39.81205847478876,16,True
13,-4,34.23448553724738,17,True
35,-4,13.152946437965905,39,False
32,-1,12.041594578792296,33,False
27,-1,30.4138126514911,28,False
14,-2,25.0,16,True
17,-5,13.0,22,False
16,-5,18.681541692269406,21,False
19,-4,15.231546211727817,23,False
22,-2,6.082762530298219,24,False
22,-3,8.06225774829855,25,False
14,-3,31.144823004794873,17,True
11,-2,41.012193308819754,13,True
10,-1,43.04648650006177,11,True
9,-2,45.044422518220834,11,True
8,-4,49.09175083453431,12,True
9,-5,47.042533945356304,14,True
9,-5,48.010415536631214,14,True
9,-5,46.0,14,True
10,-4,45.0,14,True
-2,-5,47.095647357266465,3,True
-6,-5,50.08991914547278,1,True
-6,-5,53.08483775994799,1,True
1,-6,41.10960958218893,7,True
5,-5,35.12833614050059,10,True
6,-5,34.23448553724738,11,True
15,-3,31.144823004794873,18,True
19,-3,26.1725046566048,22,False
19,-3,23.08679276123039,22,False
12,-4,39.05124837953327,16,True
9,-6,46.010868281309364,15,True
9,-6,45.0111097397076,15,True
12,-6,39.01281840626232,18,True
13,-6,37.013511046643494,19,True
12,-6,39.05124837953327,18,True
30,-7,33.24154027718932,37,False
36,-6,32.7566787083184,42,False
37,-6,33.24154027718932,43,False
41,-5,39.05124837953327,46,False
43,-5,38.47076812334269,48,False
42,-5,41.43669871020132,47,False
10,-2,44.10215414239989,12,True
3,-1,44.10215414239989,4,True
2,-1,42.04759208325728,3,True
15,0,14.035668847618199,15,True
22,-2,5.0,24,False
24,-3,11.045361017187261,27,False
13,0,19.1049731745428,13,True
9,0,25.495097567963924,9,True
12,0,19.6468827043885,12,True
18,0,11.661903789690601,18,True
21,0,7.211102550927978,21,False
22,0,7.211102550927978,22,False
18,0,12.529964086141668,18,True
17,0,13.416407864998739,17,True
16,0,16.55294535724685,16,True
12,-5,33.54101966249684,17,True
18,-5,16.15549442140351,23,False
15,-4,23.769728648009426,19,True
15,-5,21.840329667841555,20,True
14,-3,12.529964086141668,17,True
12,-2,11.40175425099138,14,True
24,-2,9.219544457292887,26,False
27,-2,10.63014581273465,29,False
29,-3,14.7648230602334,32,False
28,-3,13.038404810405298,31,False
27,-3,11.40175425099138,30,False
27,-3,11.313708498984761,30,False
29,-2,7.615773105863909,31,False
32,-2,6.082762530298219,34,False
32,-1,5.830951894845301,33,False
27,-2,36.124783736376884,29,False
25,-2,41.048751503547585,27,False
23,-4,45.0111097397076,27,False
6,-1,49.16299421312742,7,True
1,-2,50.08991914547278,3,True
1,-2,47.095647357266465,3,True
5,-3,30.675723300355934,8,True
7,-3,36.76955262170047,10,True
9,-3,33.61547262794322,12,True
11,-3,34.88552708502482,14,True
12,-3,32.202484376209235,15,True
14,-4,27.784887978899608,18,True
23,-3,18.788294228055936,26,False
24,-2,21.840329667841555,26,False
25,-2,21.587033144922902,27,False
24,-2,23.769728648009426,26,False
24,-2,25.495097567963924,26,False
24,-2,26.30589287593181,26,False
23,-2,26.92582403567252,25,False
22,-1,27.85677655436824,23,False
21,-1,27.313000567495326,22,False
